2025-09-15 15:07:32 | lr:0.001 | seed:1 | epoch 5: | Train_loss: 1.2092, | Train_acc: 78.00%, Val_acc: 74.2600%(correct=6371578, total=8580096)
2025-09-15 15:07:35 | lr:0.001 | seed:1 | epoch 6: | Train_loss: 1.2290, | Train_acc: 78.20%, Val_acc: 74.2584%(correct=6371440, total=8580096)
2025-09-15 15:07:38 | lr:0.001 | seed:1 | epoch 7: | Train_loss: 1.3049, | Train_acc: 77.82%, Val_acc: 74.2584%(correct=6371444, total=8580096)
2025-09-15 15:07:40 | lr:0.001 | seed:1 | epoch 8: | Train_loss: 1.0897, | Train_acc: 78.91%, Val_acc: 74.2600%(correct=6371578, total=8580096)
2025-09-15 15:07:43 | lr:0.001 | seed:1 | epoch 9: | Train_loss: 0.9607, | Train_acc: 79.80%, Val_acc: 74.2597%(correct=6371552, total=8580096)
2025-09-15 15:07:46 | lr:0.001 | seed:1 | epoch 10: | Train_loss: 1.0098, | Train_acc: 79.85%, Val_acc: 74.2600%(correct=6371578, total=8580096)
2025-09-15 15:07:48 | lr:0.001 | seed:1 | epoch 11: | Train_loss: 1.0812, | Train_acc: 79.17%, Val_acc: 74.0915%(correct=6357126, total=8580096)
2025-09-15 15:07:51 | lr:0.001 | seed:1 | epoch 12: | Train_loss: 1.0569, | Train_acc: 79.73%, Val_acc: 74.2649%(correct=6372003, total=8580096)
2025-09-15 15:07:53 | lr:0.001 | seed:1 | epoch 13: | Train_loss: 1.0041, | Train_acc: 79.49%, Val_acc: 74.2600%(correct=6371577, total=8580096)
2025-09-15 15:07:55 | lr:0.001 | seed:1 | epoch 14: | Train_loss: 0.9037, | Train_acc: 79.75%, Val_acc: 73.9647%(correct=6346238, total=8580096)
2025-09-15 15:07:58 | lr:0.001 | seed:1 | epoch 15: | Train_loss: 0.8914, | Train_acc: 79.62%, Val_acc: 74.2524%(correct=6370926, total=8580096)
2025-09-15 15:08:01 | lr:0.001 | seed:1 | epoch 16: | Train_loss: 0.8860, | Train_acc: 79.53%, Val_acc: 74.2584%(correct=6371446, total=8580096)
2025-09-15 15:08:04 | lr:0.001 | seed:1 | epoch 17: | Train_loss: 0.8613, | Train_acc: 79.76%, Val_acc: 74.2600%(correct=6371578, total=8580096)
2025-09-15 15:08:07 | lr:0.001 | seed:1 | epoch 18: | Train_loss: 0.8378, | Train_acc: 79.93%, Val_acc: 74.2600%(correct=6371578, total=8580096)
2025-09-15 15:08:10 | lr:0.001 | seed:1 | epoch 19: | Train_loss: 0.8047, | Train_acc: 80.76%, Val_acc: 73.1117%(correct=6273054, total=8580096)
